game_id,seed,winner_model,winner_color,total_turns,model,color,seat_position,victory_points,settlements,cities,roads_built,longest_road_length,has_longest_road,has_largest_army,knights_played,llm_calls,cost_usd,input_tokens,output_tokens,cached_tokens,avg_latency_ms,trade_proposals_made,trade_proposals_accepted
0,42,gemini-3-flash,WHITE,135,claude-sonnet,RED,0,2,2,0,3,3,False,False,1,30,0.0582,27887,6226,44022,5442.4,5,1
0,42,gemini-3-flash,WHITE,135,gemini-3-flash,WHITE,1,11,0,3,9,5,True,True,4,83,0.1482,210625,14292,0,2170.6,1,1
0,42,gemini-3-flash,WHITE,135,claude-haiku,BLUE,2,2,2,0,6,4,False,False,1,52,0.1501,126274,12278,0,4068.6,7,0
0,42,gemini-3-flash,WHITE,135,gemini-flash,ORANGE,3,5,2,1,5,4,False,False,3,54,0.0628,135432,9216,3028,1989.2,0,0
1,43,claude-sonnet,RED,198,claude-sonnet,RED,0,10,1,2,6,5,False,True,6,68,0.1431,66871,14474,101706,5971.0,6,0
1,43,claude-sonnet,RED,198,claude-haiku,BLUE,1,4,2,0,7,6,True,False,1,66,0.1942,163374,15871,0,3727.9,7,2
1,43,claude-sonnet,RED,198,gemini-flash,WHITE,2,7,0,3,4,3,False,False,3,85,0.1033,213891,16243,5046,2076.8,0,0
1,43,claude-sonnet,RED,198,gemini-3-flash,ORANGE,3,7,0,3,5,3,False,False,4,145,0.2485,361655,24242,10094,2040.1,2,0
2,44,gemini-3-flash,WHITE,194,gemini-3-flash,WHITE,0,10,2,2,9,8,True,False,1,82,0.144,208398,14268,6053,2113.3,3,0
2,44,gemini-3-flash,WHITE,194,claude-haiku,ORANGE,1,6,1,2,5,4,False,False,1,56,0.1665,138638,13894,0,4190.2,6,0
2,44,gemini-3-flash,WHITE,194,claude-sonnet,RED,2,4,1,1,3,3,False,False,1,55,0.0967,51197,10964,81972,5899.5,5,2
2,44,gemini-3-flash,WHITE,194,gemini-flash,BLUE,3,6,0,2,4,3,False,True,6,77,0.0866,193998,11731,3029,1884.4,0,0
3,45,gemini-3-flash,ORANGE,74,gemini-3-flash,ORANGE,0,10,0,3,5,4,False,True,3,53,0.0913,129969,8775,0,2125.7,0,0
3,45,gemini-3-flash,ORANGE,74,gemini-flash,BLUE,1,2,2,0,2,1,False,False,2,23,0.0246,55009,3233,0,1986.9,0,0
3,45,gemini-3-flash,ORANGE,74,claude-haiku,WHITE,2,3,1,1,2,2,False,False,0,17,0.0491,40495,4174,0,4342.5,0,0
3,45,gemini-3-flash,ORANGE,74,claude-sonnet,RED,3,5,3,0,6,5,True,False,1,34,0.0616,28603,7400,50094,6373.5,8,1
4,46,claude-sonnet,RED,182,claude-sonnet,RED,0,11,0,3,8,7,False,True,4,79,0.1558,81572,15386,118404,5684.4,10,1
4,46,claude-sonnet,RED,182,gemini-3-flash,BLUE,1,5,2,1,8,8,False,False,3,116,0.2016,298559,19132,10099,2034.9,1,0
4,46,claude-sonnet,RED,182,gemini-flash,WHITE,2,3,2,0,5,5,False,False,1,44,0.0519,115608,7006,1010,2045.7,0,0
4,46,claude-sonnet,RED,182,claude-haiku,ORANGE,3,5,3,0,12,10,True,False,2,70,0.2101,178171,16881,0,4197.6,10,0
5,47,claude-haiku,WHITE,133,gemini-flash,ORANGE,0,4,2,0,3,2,False,True,3,47,0.0531,115895,7705,3027,1995.9,1,0
5,47,claude-haiku,WHITE,133,claude-sonnet,RED,1,2,2,0,3,2,False,False,0,41,0.0935,41478,8865,60720,6051.5,9,0
5,47,claude-haiku,WHITE,133,gemini-3-flash,BLUE,2,9,1,4,9,6,False,False,0,86,0.1564,222311,16078,6054,2244.9,4,1
5,47,claude-haiku,WHITE,133,claude-haiku,WHITE,3,10,4,2,11,7,True,False,0,45,0.1367,116214,10930,0,3520.4,0,0
6,48,claude-haiku,RED,239,gemini-flash,ORANGE,0,6,0,2,3,2,False,False,3,145,0.1894,384762,31643,17165,2223.3,1,0
6,48,claude-haiku,RED,239,claude-haiku,RED,1,10,3,2,12,10,True,False,2,109,0.3284,282712,25568,0,3730.1,16,2
6,48,claude-haiku,RED,239,claude-sonnet,BLUE,2,8,1,3,9,7,False,False,0,98,0.2217,102109,20883,147343,5928.4,13,0
6,48,claude-haiku,RED,239,gemini-3-flash,WHITE,3,7,0,2,8,4,False,True,9,135,0.2366,348912,22072,8080,2057.6,3,0
7,49,gemini-3-flash,ORANGE,200,claude-haiku,RED,0,6,4,0,9,9,True,False,4,108,0.321,272324,25791,0,3895.3,15,0
7,49,gemini-3-flash,ORANGE,200,claude-sonnet,BLUE,1,6,1,2,10,6,False,False,0,89,0.1887,88686,18903,133672,6035.9,20,4
7,49,gemini-3-flash,ORANGE,200,gemini-3-flash,ORANGE,2,10,2,2,7,5,False,True,6,166,0.2869,418544,27574,10108,2044.6,4,0
7,49,gemini-3-flash,ORANGE,200,gemini-flash,WHITE,3,7,0,3,6,5,False,False,1,101,0.1178,258537,17082,8079,1967.7,0,0
8,50,gemini-3-flash,WHITE,142,gemini-3-flash,WHITE,0,10,4,2,8,6,True,False,1,65,0.1116,162372,10489,2017,2092.3,1,0
8,50,gemini-3-flash,WHITE,142,gemini-flash,BLUE,1,3,2,0,3,2,False,False,1,45,0.0568,110568,9830,3026,2139.1,1,0
8,50,gemini-3-flash,WHITE,142,claude-sonnet,ORANGE,2,4,3,0,5,4,False,False,0,23,0.046,21204,4840,33418,6095.0,4,0
8,50,gemini-3-flash,WHITE,142,claude-haiku,RED,3,4,3,0,5,3,False,False,0,52,0.1546,129021,12857,0,3951.9,5,1
9,51,gemini-3-flash,ORANGE,167,gemini-flash,BLUE,0,4,2,0,7,5,False,True,5,68,0.0726,169898,9602,8075,1814.4,0,0
9,51,gemini-3-flash,ORANGE,167,gemini-3-flash,ORANGE,1,10,1,3,9,7,True,False,2,84,0.1493,213819,14470,2015,2130.8,1,0
9,51,gemini-3-flash,ORANGE,167,claude-haiku,RED,2,2,2,0,4,3,False,False,1,33,0.0959,82622,7460,0,4323.1,4,0
9,51,gemini-3-flash,ORANGE,167,claude-sonnet,WHITE,3,3,2,0,5,5,False,False,1,26,0.0627,25219,5967,37950,6060.2,3,1
10,52,gemini-3-flash,BLUE,112,claude-sonnet,ORANGE,0,2,2,0,3,2,False,False,1,14,0.0288,12482,2976,19747,5959.4,0,0
10,52,gemini-3-flash,BLUE,112,claude-haiku,RED,1,4,1,1,4,2,False,False,1,30,0.0853,71976,6937,0,3305.7,3,0
10,52,gemini-3-flash,BLUE,112,gemini-3-flash,BLUE,2,10,0,4,5,4,False,True,3,57,0.0952,138974,8916,2015,1944.9,2,0
10,52,gemini-3-flash,BLUE,112,gemini-flash,WHITE,3,2,2,0,2,2,False,False,1,31,0.0325,73387,4570,3027,1852.5,0,0
11,53,gemini-3-flash,BLUE,86,gemini-3-flash,BLUE,0,10,1,3,6,3,False,False,2,79,0.1323,188773,12973,2016,2052.5,2,0
11,53,gemini-3-flash,BLUE,86,claude-sonnet,WHITE,1,2,2,0,6,4,False,False,0,19,0.0412,17594,4145,27324,6120.3,1,0
11,53,gemini-3-flash,BLUE,86,gemini-flash,ORANGE,2,2,2,0,2,1,False,False,2,30,0.0326,71936,4425,0,1841.0,0,0
11,53,gemini-3-flash,BLUE,86,claude-haiku,RED,3,2,2,0,3,2,False,False,1,21,0.0594,50002,4838,0,3990.6,0,0
12,54,gemini-3-flash,WHITE,123,claude-sonnet,BLUE,0,3,3,0,5,4,False,False,0,39,0.0806,37985,8163,57722,5909.6,6,1
12,54,gemini-3-flash,WHITE,123,gemini-3-flash,WHITE,1,10,1,3,7,4,False,True,3,79,0.1411,203425,13134,0,2147.6,0,0
12,54,gemini-3-flash,WHITE,123,claude-haiku,ORANGE,2,2,2,0,3,2,False,False,0,17,0.0503,42004,4173,0,4476.3,2,0
12,54,gemini-3-flash,WHITE,123,gemini-flash,RED,3,8,0,2,11,6,True,False,2,63,0.0741,162524,10867,6059,2012.8,1,0
13,55,claude-sonnet,BLUE,253,gemini-flash,RED,0,7,0,2,4,2,False,False,2,134,0.1669,340557,27472,13130,2119.3,1,0
13,55,claude-sonnet,BLUE,253,claude-haiku,WHITE,1,8,2,2,9,6,False,True,5,113,0.3393,285462,27742,0,3963.5,13,0
13,55,claude-sonnet,BLUE,253,gemini-3-flash,ORANGE,2,7,0,3,6,4,False,False,4,128,0.2311,327465,22440,0,2073.7,0,0
13,55,claude-sonnet,BLUE,253,claude-sonnet,BLUE,3,10,3,2,10,9,True,False,3,104,0.2119,104711,21350,156457,5763.0,18,2
14,56,gemini-3-flash,WHITE,89,gemini-flash,RED,0,4,0,2,2,1,False,False,0,22,0.0249,53534,3647,1007,2167.3,1,0
14,56,gemini-3-flash,WHITE,89,claude-haiku,BLUE,1,4,1,1,4,4,False,False,1,33,0.0947,79387,7806,0,3353.9,1,0
14,56,gemini-3-flash,WHITE,89,claude-sonnet,ORANGE,2,4,2,0,5,5,True,False,0,28,0.0524,24313,6010,41013,5845.6,5,2
14,56,gemini-3-flash,WHITE,89,gemini-3-flash,WHITE,3,10,0,3,6,3,False,True,3,54,0.0909,130376,8919,2015,2066.1,1,0
15,57,claude-sonnet,WHITE,112,gemini-flash,RED,0,4,0,2,3,2,False,False,0,36,0.0389,89711,4898,1009,1791.5,0,0
15,57,claude-sonnet,WHITE,112,claude-haiku,BLUE,1,4,2,1,3,2,False,False,0,37,0.1115,92417,9393,0,4092.7,2,0
15,57,claude-sonnet,WHITE,112,claude-sonnet,WHITE,2,10,1,2,11,6,True,True,3,71,0.1451,69208,14957,106260,5760.8,9,1
15,57,claude-sonnet,WHITE,112,gemini-3-flash,ORANGE,3,5,3,1,6,5,False,False,1,61,0.1071,154000,10719,4039,2103.5,1,0
16,58,gemini-3-flash,BLUE,158,gemini-3-flash,BLUE,0,10,2,2,10,8,True,False,1,97,0.1793,249175,18580,2018,2165.5,1,0
16,58,gemini-3-flash,BLUE,158,gemini-flash,RED,1,4,0,2,4,2,False,False,1,43,0.048,107956,6361,1010,1878.9,0,0
16,58,gemini-3-flash,BLUE,158,claude-sonnet,ORANGE,2,7,1,1,6,3,False,True,4,49,0.1044,47742,10535,72912,6141.8,6,0
16,58,gemini-3-flash,BLUE,158,claude-haiku,WHITE,3,3,1,1,6,4,False,False,2,48,0.1452,123342,11630,0,4277.9,2,1
17,59,gemini-3-flash,BLUE,210,gemini-3-flash,BLUE,0,11,1,3,8,7,True,True,3,105,0.18,272319,17320,16160,2068.7,4,0
17,59,gemini-3-flash,BLUE,210,gemini-flash,RED,1,5,0,2,6,3,False,False,1,67,0.0771,170686,10470,1009,1889.7,0,0
17,59,gemini-3-flash,BLUE,210,claude-sonnet,WHITE,2,3,1,1,7,7,False,False,1,43,0.0897,43013,8852,63756,5930.5,4,0
17,59,gemini-3-flash,BLUE,210,claude-haiku,ORANGE,3,9,1,3,6,5,False,False,2,86,0.2561,220574,19922,0,3566.0,6,0
18,60,gemini-3-flash,RED,220,claude-haiku,ORANGE,0,6,1,2,5,4,False,False,0,65,0.1986,169141,15818,0,4725.2,5,0
18,60,gemini-3-flash,RED,220,claude-sonnet,BLUE,1,4,3,0,9,6,False,False,2,71,0.165,70550,16028,106330,6055.4,14,2
18,60,gemini-3-flash,RED,220,gemini-3-flash,RED,2,10,1,2,7,7,True,True,8,152,0.2538,379755,24328,18166,2009.9,2,0
18,60,gemini-3-flash,RED,220,gemini-flash,WHITE,3,5,3,0,11,5,False,False,1,73,0.0865,189712,12333,4038,2084.7,0,0
19,61,claude-haiku,WHITE,230,claude-haiku,WHITE,0,10,0,4,6,4,False,False,3,110,0.3231,278181,25143,0,3804.0,11,0
19,61,claude-haiku,WHITE,230,gemini-3-flash,RED,1,5,2,0,7,5,False,True,5,90,0.1499,226346,14247,12108,1950.6,7,0
19,61,claude-haiku,WHITE,230,gemini-flash,ORANGE,2,4,3,0,7,3,False,False,2,68,0.0763,170653,10148,1011,1932.5,0,0
