game_id,seed,winner_model,winner_color,total_turns,model,color,seat_position,victory_points,settlements,cities,roads_built,longest_road_length,has_longest_road,has_largest_army,knights_played,llm_calls,cost_usd,input_tokens,output_tokens,cached_tokens,avg_latency_ms,trade_proposals_made,trade_proposals_accepted
0,42,gemini-3-flash,WHITE,74,gemini-3-flash,WHITE,0,10,4,0,7,5,True,False,0,29,0.0434,59302,4567,0,2435.7,2,1
0,42,gemini-3-flash,WHITE,74,gemini-flash,ORANGE,1,2,2,0,2,1,False,False,1,12,0.0119,25014,1744,0,1836.1,0,0
0,42,gemini-3-flash,WHITE,74,claude-sonnet,RED,2,2,2,0,4,4,False,False,2,34,0.0898,29589,6921,38049,5639.0,7,5
0,42,gemini-3-flash,WHITE,74,claude-haiku,BLUE,3,2,2,0,4,3,False,False,0,22,0.0572,44800,5329,0,4615.6,0,0
1,43,claude-sonnet,RED,158,claude-sonnet,RED,0,10,1,3,6,4,False,True,6,74,0.2196,74080,14975,84169,5506.5,12,1
1,43,claude-sonnet,RED,158,claude-haiku,BLUE,1,6,3,0,11,9,True,False,1,59,0.1566,125670,14015,0,4526.7,5,1
1,43,claude-sonnet,RED,158,gemini-flash,WHITE,2,5,0,2,3,2,False,False,3,77,0.0803,168399,12267,3017,2068.0,2,0
1,43,claude-sonnet,RED,158,gemini-3-flash,ORANGE,3,8,0,3,8,5,False,False,4,96,0.1554,212443,16392,0,2216.8,4,0
2,44,gemini-3-flash,WHITE,158,gemini-3-flash,WHITE,0,10,2,2,8,6,True,False,1,115,0.1795,243989,19176,0,2156.1,6,0
2,44,gemini-3-flash,WHITE,158,claude-haiku,ORANGE,1,6,2,2,5,4,False,False,4,76,0.1989,159713,17781,0,4822.8,5,1
2,44,gemini-3-flash,WHITE,158,claude-sonnet,RED,2,7,2,1,4,4,False,True,4,70,0.1808,65385,13294,79557,5640.3,12,3
2,44,gemini-3-flash,WHITE,158,gemini-flash,BLUE,3,4,2,0,3,1,False,False,1,29,0.0293,63007,4293,1007,2145.8,0,0
3,45,gemini-3-flash,ORANGE,162,gemini-3-flash,ORANGE,0,10,0,3,4,3,False,True,4,93,0.146,198185,15627,0,2288.8,6,0
3,45,gemini-3-flash,ORANGE,162,gemini-flash,BLUE,1,3,1,1,6,4,False,False,2,56,0.051,117912,6746,4027,1868.9,1,0
3,45,gemini-3-flash,ORANGE,162,claude-haiku,WHITE,2,7,1,2,12,7,True,False,0,66,0.1741,140617,15390,0,3692.4,4,1
3,45,gemini-3-flash,ORANGE,162,claude-sonnet,RED,3,5,1,2,5,3,False,False,1,74,0.2161,72815,14996,84169,5666.0,16,1
4,46,gemini-3-flash,BLUE,99,claude-sonnet,RED,0,6,0,3,5,3,False,False,0,45,0.1361,45227,9162,50732,5903.6,10,2
4,46,gemini-3-flash,BLUE,99,gemini-3-flash,BLUE,1,10,1,3,6,5,False,True,4,92,0.1444,197530,15223,0,2271.2,6,1
4,46,gemini-3-flash,BLUE,99,gemini-flash,WHITE,2,3,3,0,8,5,False,False,3,59,0.0652,131515,10545,2015,2190.5,0,0
4,46,gemini-3-flash,BLUE,99,claude-haiku,ORANGE,3,8,0,2,8,6,True,False,1,54,0.1447,116678,12851,0,4948.3,2,0
5,47,gemini-3-flash,BLUE,116,gemini-flash,ORANGE,0,5,0,2,4,3,False,False,3,63,0.068,134928,11242,2014,2444.8,1,0
